year,stat_name,syracuse,opponent
2025,Goals-Shot Att,235-538,221-552
2025,Goals Per Game,12.37,11.63
2025,Shot Pct,0.437,0.400
2025,Shots on Goal-Att,402-538,383-552
2025,SOG Pct,0.747,0.694
2025,Shots/Game,28.3,29.1
2025,Assists,112,116
2025,Free Position Made-Att,44-90,44-102
2025,Free Position pct,0.489,0.431
2025,Unassisted Goals,123,105
2025,Overtime Goals,1,1
2025,Ground Balls,295,284
2025,Draw Controls,240,280
2025,Turnovers,270,286
2025,Caused Turnovers,153,142
2025,Clears,359-397,335-356
2025,Clear Pct,0.904,0.941
2025,Shot Clock Violations,10,19
2025,Total Attendance,21537,4546
2025,Dates-Avg Per Date,9/2393,8/568
2025,Neutral Site #-Avg,2/292,
